cluster_id,canonical_name,birth_year,death_year,record_count,roles,subjects,genres,domains,sample_titles,domain_summary,context_completeness
57,"Owen, David, -1623",,,1,Contributor,"Great Britain--History--Charles I, 1625-1649",,history,"A perswasion to loyalty, or, The subiect's dutie: vvherein is proved that resisting or deposing of kings (under what specious pretences soever couched) is utterly unlawful","history; Great Britain--History--Charles I, 1625-1649",0.6
58,"Owen, David, -1623",,,1,Contributor,Divine right of kings--Apologetic works; Brit tracts--1610,,,"Herod and Pilate reconciled, or, The concord of the papist and Puritan ... for the coercion, deposition, and killing of kings, discovered",Divine right of kings--Apologetic works; Brit tracts--1610,0.6
59,"Owen, David, -1623",,,1,Contributor,"Pareus, David, 1548-1622. Quaestiones controversae theologicae, de jure regum et principum ... adversus Bellarminum; Divine right of kings",,philosophy_psychology_religion,"Anti-Paræus, or, A treatise in the defence of the royall right of kings: against Paræus and the rest of the anti-monarchians, whether Presbyterians or Jesuits : wherein is maintained the unlawfulnesse of opposing and taking up arms against the Prince ... : delivered formerly in a determination in the divinity schooles in Cambridge, April the 9th, 1619, and afterwards enlarged for the presse by learned Dr. Owen","philosophy_psychology_religion; Pareus, David, 1548-1622. Quaestiones controversae theologicae, de jure regum et principum ... adversus Bellarminum; Divine right of kings",0.6
60,"Owen, David, -1623",,,1,Contributor,"Pareus, David, 1548-1622. Quaestiones controversae theologicae, de jure regum et principum ... adversus Bellarminum; Divine right of kings",,philosophy_psychology_religion,"Anti-Paræus, or, A treatise in the defence of the royall right of kings: against Paræus and the rest of the anti-monarchians, whether Presbyterians or Jesuits : wherein is maintained the unlawfulnesse of opposing and taking up arms against the Prince ... : delivered formerly in a determination in the divinity schooles in Cambridge, April the 9th, 1619, and afterwards enlarged for the presse by learned Dr. Owen","philosophy_psychology_religion; Pareus, David, 1548-1622. Quaestiones controversae theologicae, de jure regum et principum ... adversus Bellarminum; Divine right of kings",0.8
61,"Owen, David, -1623",,,1,Contributor,"Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",,history,"A persvvassion to loyalty, or, The subject's dutie: vvherein is proved that resisting or deposing of kings (under what spccious [sic] pretences soever couched) is utterly unlawfull","history; Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",0.6
62,"Owen, David, -1623",,,1,Contributor,"Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",,history,"A persvvassion to loyalty, or, The subject's dutie: vvherein is proved that resisting or deposing of kings (under what spccious [sic] pretences soever couched) is utterly unlawfull","history; Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",0.8
63,"Owen, David, -1623",,,1,Contributor,Divine right of kings; Kings and rulers,,,Pvritano-Iesvitismvs: The Puritan tvrn'd Jesuite : or rather ovt-vying him in those diabolicall and dangerous positions of the deposition of Kings from the yeare 1536 untill this present time : extracted out of the most ancient and authentick authours : shewing their concord in the matter their discord in the manner of their sedition,Divine right of kings; Kings and rulers,0.6
64,"Owen, David, -1623",,,1,Contributor,Divine right of kings; Kings and rulers,,,Pvritano-Iesvitismvs: The Puritan tvrn'd Jesuite : or rather ovt-vying him in those diabolicall and dangerous positions of the deposition of Kings from the yeare 1536 untill this present time : extracted out of the most ancient and authentick authours : shewing their concord in the matter their discord in the manner of their sedition,Divine right of kings; Kings and rulers,0.8
65,"Rowe, Nicholas, 1674-1718",1674.0,1718.0,32,Contributor; Subject,"Rowe, Nicholas, 1674-1718--Criticism and interpretation; Grey, Jane, Lady, 1537-1554--Drama; Grey, Jane, Lady, 1537-1554; English drama (Tragedy)--Great Britain--18th century",Drama,language_and_literature,"The works of Mr. William Shakespear, in nine volumes: with his life, by N. Rowe Esq; adorn'd with cuts. To the last volume is prefix'd, I. An essay on the art, rise, and progress of the stage, in Greece, Rome, and England. II. Observations upon the most sublime passages in this author. III. A glossary, explaining the antiquated words made use of throughout his works; The ambitious step-mother: A tragedy. As it is acted at the New Theatre in Little-Lincolns-Inn-Fields. By Her Majesties servants.; A new Rehearsal, or Bays the Younger: Containing an examen of The ambitious stepmother. Tamerlane, the biter, Fair penitent, Royal convert, Vlysses, and Jane Shore.","language_and_literature; Drama; Rowe, Nicholas, 1674-1718--Criticism and interpretation; Grey, Jane, Lady, 1537-1554--Drama; Grey, Jane, Lady, 1537-1554; English drama (Tragedy)--Great Britain--18th century; fine_arts",0.45
66,"Smith, Chris, 1879-1949",1879.0,1949.0,31,Contributor; Composer; Composer; Lyricist; Composer; Lyricist; Performer,African Americans--Songs and music; Popular music; Popular music--1911-1920; Songs with piano; Popular music--1901-1910,Popular music; Sheet music; Songs; Scores; Publishers' advertisements,music; fine_arts,Black Patti; Long gone; Black Manhattan,Popular music; music; Sheet music; Songs; Scores; Publishers' advertisements; African Americans--Songs and music,0.76
67,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,Confederate States of America. Army--Regulations,,,"Regulations for the Army of the Confederate States, 1862",Confederate States of America. Army--Regulations,0.4
68,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,"United States--History--Civil War, 1861-1865--Peace",,history,Communication from the Secretary of State,"history; United States--History--Civil War, 1861-1865--Peace",0.4
69,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,Confederate States of America. War Dept.--Appropriations and expenditures,,,[Message of the President],Confederate States of America. War Dept.--Appropriations and expenditures,0.4
70,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,Confederate States of America. Army--Officers,,,Opinion of the Attorney General on the question of rank in the Confederate Army,Confederate States of America. Army--Officers,0.4
71,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,"Confederate States of America. Army--Regulations; Confederate States of America. Army--Recruiting, enlistment, etc",,,[Circular],"Confederate States of America. Army--Regulations; Confederate States of America. Army--Recruiting, enlistment, etc",0.4
72,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,"United States--History--Civil War, 1861-1865--Campaigns; Virginia--History--Civil War, 1861-1865",,history,Message of the President,"history; United States--History--Civil War, 1861-1865--Campaigns; Virginia--History--Civil War, 1861-1865",0.4
73,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,United States--Politics and government--1853-1857; Kansas--Politics and government--1854-1861--Speeches in Congress,,political_science,"Extracts from the speech of Hon. Mr. Benjamin, of Louisiana, on the Kansas question: showing the true meaning of the Kansas law, and his reasons for joining the Democratic party. Delivered in the Senate, May 2, 1856.",political_science; United States--Politics and government--1853-1857; Kansas--Politics and government--1854-1861--Speeches in Congress,0.4
74,"Roberts, Jean, 1918-",1918.0,,26,Author; Contributor; Joint author,"United States; Health surveys--United States; Teenagers--Diseases--United States--Statistics; United States--Statistics, Medical; Eye--Diseases--United States--Statistics",Statistics,science; medicine,"Henrik Ibsen's ""Peer Gynt"": introduction; Henrik Ibsen's ""Peer Gynt"": introduction; Skin conditions and related need for medical care among persons 1-74 years, United States, 1971-1974","Statistics; United States; Health surveys--United States; Teenagers--Diseases--United States--Statistics; United States--Statistics, Medical; Eye--Diseases--United States--Statistics; Vision disorders--United States--Statistics",0.77
75,"Thayer, Nathaniel, 1769-1840",1769.0,1840.0,26,Contributor; Author; Subject,"Sermons, American; Self-control; Ordination sermons; Sparks, Jared, 1789-1866; Unitarianism",Ordination sermons; Tracts (literary works); Sermons; Billheads,philosophy_psychology_religion,"A discourse delivered at the ordination of the Rev. John Sabin: to the pastoral charge of the church in Fitzwilliam, N. H., on the 6th of March, 1805; A sermon delivered at the ordination of the Rev. Jared Sparks: to the pastoral care of the first independent church in Baltimore, May 5, 1819; Anthems and hymns, to be sung at the installation of the Reverend Mr. Emerson, on Wednesday the 16th of October, 1799.","philosophy_psychology_religion; Ordination sermons; Billheads; Sermons, American; Self-control; Tracts (literary works); Sparks, Jared, 1789-1866",0.62
76,"Ward, Seth, 1617-1689",1617.0,1689.0,32,Contributor; Subject; Author,"Christian life--Early works to 1800; Sermons, English--17th century; Bible. N.T. Gospels--Criticism, interpretation, etc; Astronomy--Early works to 1800; Wilkins, John, 1614-1672",Sermons; Biographies,philosophy_psychology_religion; science; law; language_and_literature; history,"Astronomiæ geometricæ: astronomia circularis : geometrice proposita; The life of the Right Reverend Father in God, Seth, Lord Bishop of Salisbury and chancellor of the most noble Order of the Garter: with a brief account of Bishop Wilkins, Mr. Lawrence Rooke, Dr. Isaac Barrow, Dr. Turbervile, and others; A sermon preached at the triennial visitation of the Right Reverend Father in God, Seth, Lord Bishop of Sarum, held at Reading, Sept. 6, 1683 ...","philosophy_psychology_religion; Christian life--Early works to 1800; Sermons; Sermons, English--17th century; science; law; language_and_literature",0.58
77,"Berry, Mary, 1763-1852",1763.0,1852.0,1,Contributor,"Genest, John, 1764-1839--Autograph",,,"The fashionable friends: a comedy, in five acts : as performed by Their Majesties servants at the Theatre Royal, Drury-Lane","Genest, John, 1764-1839--Autograph",0.4
78,"Berry, Mary, 1763-1852",1763.0,1852.0,1,Subject,"Berry, Mary, 1763-1852--Fiction; Berry, Agnes, 1764-1852--Fiction; Thane, Elswyth, 1900-1984--Donor",Fiction,language_and_literature,April lady,"language_and_literature; Berry, Mary, 1763-1852--Fiction; Berry, Agnes, 1764-1852--Fiction; Thane, Elswyth, 1900-1984--Donor; Fiction",0.8
79,"Campos, Haroldo de",,,1,Contributor,,,,Cantares,Unknown domain,0.4
80,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Subject,"Martz, Louis L. (Louis Lohr), 1913-2001; Murdoch, Iris; Hugo, Richard, 1923-1982; Ignatow, David, 1914-1997; Slavitt, Owen",,fine_arts; language_and_literature,Louis Lohr Martz correspondence,"fine_arts; language_and_literature; Martz, Louis L. (Louis Lohr), 1913-2001; Murdoch, Iris; Hugo, Richard, 1923-1982; Ignatow, David, 1914-1997; Slavitt, Owen",0.2
81,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Contributor,Broadsides; Marriage--Poetry; Printing--Specimens; Washington (D.C.)--Poetry; Broadsides--California--2010-2013,Poetry,language_and_literature,[Broadsides],"language_and_literature; Broadsides; Marriage--Poetry; Printing--Specimens; Washington (D.C.)--Poetry; Broadsides--California--2010-2013; Klipschutz, Kurt--Autograph",0.8
82,"White, Edmund, 1940-",1940.0,,28,Contributor; Subject; Associated person; Author,"LGBTQ resource; White, Edmund, 1940---Homes and haunts--France--Paris; Paris (France)--Description and travel; Paris (France)--Social life and customs; White, Edmund, 1940---Ownership",Fiction; Autobiographies,language_and_literature; geography_anthropology_recreation; fine_arts; history,Loss within loss: artists in the age of AIDS; Keith Fleming papers relating to Edmund White; Sinfonia a despedida,"language_and_literature; Fiction; geography_anthropology_recreation; LGBTQ resource; White, Edmund, 1940---Homes and haunts--France--Paris; Paris (France)--Description and travel; Paris (France)--Social life and customs",0.71
83,"Olson, Steve, 1956-",1956.0,,1,Contributor,Biological warfare--United States--Prevention--Congresses; Biological warfare--United States--Safety measures--Evaluation--Congresses; Public health surveillance--United States--Evaluation--Congresses; Emergency management--United States--Planning--Evaluation--Congresses; Interagency coordination--United States--Congresses,Conference papers and proceedings,philosophy_psychology_religion; medicine,Information sharing and collaboration: applications to integrated biosurveillance : workshop summary,philosophy_psychology_religion; medicine; Biological warfare--United States--Prevention--Congresses; Biological warfare--United States--Safety measures--Evaluation--Congresses; Public health surveillance--United States--Evaluation--Congresses; Emergency management--United States--Planning--Evaluation--Congresses; Interagency coordination--United States--Congresses,0.8
84,"Olson, Steve, 1956-",1956.0,,1,Contributor,Child development--United States; Preschool children--United States; Preschool children--Services for--United States; Nature and nurture--United States; Early childhood education--United States,,education,From neurons to neighborhoods: an update : workshop summary,education; Child development--United States; Preschool children--United States; Preschool children--Services for--United States; Nature and nurture--United States; Early childhood education--United States,0.6
85,"Olson, Steve, 1956-",1956.0,,1,Contributor,Science--Study and teaching (Higher)--United States; Technology--Study and teaching (Higher)--United States; Engineering--Study and teaching (Higher)--United States; Mathematics--Study and teaching (Higher)--United States; Community colleges--United States,,education; science; technology,Community colleges in the evolving STEM education landscape: summary of a summit,education; science; technology; Science--Study and teaching (Higher)--United States; Technology--Study and teaching (Higher)--United States; Engineering--Study and teaching (Higher)--United States; Mathematics--Study and teaching (Higher)--United States,0.6
86,"Stewart, David",,,1,Contributor,Singapore--Description and travel,Video recordings,geography_anthropology_recreation,Singapore: the wired city,geography_anthropology_recreation; Singapore--Description and travel; Video recordings,0.8
87,"Berry, Mary, 1763-1852",1763.0,1852.0,1,Former owner,"Alembert, Jean Le Rond d', 1717-1783; Aydie, Chevalier d' (Blaise Marie), 1692-1761; Barthélemy, J.-J. (Jean-Jacques), 1716-1795; Beauvau, Charles-Juste, prince de, 1720-1793; Boufflers, Stanislas-Jean de, 1738-1815",Annotations (Provenance); Autographs (manuscripts); Correspondence; Diaries; Ephemera,history; political_science; fine_arts; language_and_literature,W. S. Lewis collection of Marie du Deffand,"history; political_science; fine_arts; language_and_literature; Alembert, Jean Le Rond d', 1717-1783; Aydie, Chevalier d' (Blaise Marie), 1692-1761; Barthélemy, J.-J. (Jean-Jacques), 1716-1795",0.4
88,"Berry, Mary, 1763-1852",1763.0,1852.0,1,Associated person,"Alembert, Jean Le Rond d', 1717-1783; Aydie, Chevalier d' (Blaise Marie), 1692-1761; Barthélemy, J.-J. (Jean-Jacques), 1716-1795; Beauvau, Charles-Juste, prince de, 1720-1793; Boufflers, Stanislas-Jean de, 1738-1815",Annotations (Provenance); Autographs (manuscripts); Correspondence; Diaries; Ephemera,history; political_science; fine_arts; language_and_literature,W. S. Lewis collection of Marie du Deffand,"history; political_science; fine_arts; language_and_literature; Alembert, Jean Le Rond d', 1717-1783; Aydie, Chevalier d' (Blaise Marie), 1692-1761; Barthélemy, J.-J. (Jean-Jacques), 1716-1795",0.4
89,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Subject,"Wilson, Woodrow, 1856-1924--Influence; International relations; United States--Foreign relations--2001-2009",,political_science,The crisis of American foreign policy: Wilsonianism in the twenty-first century,"political_science; Wilson, Woodrow, 1856-1924--Influence; International relations; United States--Foreign relations--2001-2009",0.6
90,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Subject,American essays--History and criticism; Contests--United States; American essays; Contests; United States,"Criticism, interpretation, etc.",history,"Woodrow Wilson Prize Essay Contest: offering fifty-seven thousand dollars ($57,000)","history; American essays--History and criticism; Contests--United States; American essays; Contests; United States; Criticism, interpretation, etc.",0.6
91,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Contributor,"Wilson, Woodrow, 1856-1924; Princeton University; Universities and colleges--United States; Universities and colleges; United States",,,That Pittsburg speech and some comment,"Wilson, Woodrow, 1856-1924; Princeton University; Universities and colleges--United States; Universities and colleges; United States",0.4
92,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Subject,Princeton University; Universities and colleges--United States; Universities and colleges; United States,,,That Pittsburg speech and some comment,Princeton University; Universities and colleges--United States; Universities and colleges; United States,0.4
93,"Brown, Lew",,,26,Lyricist; Contributor; Composer,Foxtrots; Dance orchestra music; Musicals--Excerpts; Popular music--1921-1930; Popular music--1911-1920,Dance music; Revues; Popular music; Songs; Sheet music,music,Celebratin' day in Tennessee; Husbands: a comedy about life and death and freedom; That's why darkies were born,music; Foxtrots; Dance music; Revues; Dance orchestra music; Musicals--Excerpts; Popular music--1921-1930,0.78
94,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,"Campaign literature, 1860--Democratic; United States--Politics and government--1857-1861; Democratic Party (U.S.); Amer tracts--1860",,political_science; fine_arts; language_and_literature,"Defence of the national Democracy against the attack of Judge Douglas -- constitutional rights of the states: Speech of Hon. J.P. Benjamin, of Louisiana ; delivered in the Senate of the United States, May 22, 1860","political_science; fine_arts; language_and_literature; Campaign literature, 1860--Democratic; United States--Politics and government--1857-1861; Democratic Party (U.S.); Amer tracts--1860",0.4
95,"Olson, Steve, 1956-",1956.0,,1,Author,Young adults--United States--Congresses; Health behavior--United States--Congresses; Health attitudes--United States--Congresses; Young adults--United States--Economic conditions--Congresses; Young adults--United States--Social conditions--Congresses,Conference papers and proceedings,,"Improving the Health, Safety, and Well-Being of Young Adults: workshop summary",Young adults--United States--Congresses; Health behavior--United States--Congresses; Health attitudes--United States--Congresses; Young adults--United States--Economic conditions--Congresses; Young adults--United States--Social conditions--Congresses; Conference papers and proceedings,0.8
96,"Olson, Steve, 1956-",1956.0,,1,Editor,Manufacturing industries--United States--Forecasting--Congresses; Manufacturing resource planning--United States--Congresses; Flexible manufacturing systems--Congresses; Information technology--Economic aspects--Congresses,Conference papers and proceedings,technology,"Making value: integrating manufacturing, design, and innovation to thrive in the changing global economy : summary of a workshop",technology; Manufacturing industries--United States--Forecasting--Congresses; Manufacturing resource planning--United States--Congresses; Flexible manufacturing systems--Congresses; Information technology--Economic aspects--Congresses; Conference papers and proceedings,0.8
97,"Campos, Haroldo de",,,1,Contributor,"Joyce, James, 1882-1941. Finnegans wake--Criticism and interpretation; Carroll, Lewis, 1832-1898--Criticism and interpretation; Carroll, Lewis, 1832-1898; Finnegans wake (Joyce, James)","Criticism, interpretation, etc.",,Panaroma do Finnegans Wake,"Joyce, James, 1882-1941. Finnegans wake--Criticism and interpretation; Carroll, Lewis, 1832-1898--Criticism and interpretation; Carroll, Lewis, 1832-1898; Finnegans wake (Joyce, James); Criticism, interpretation, etc.",0.8
98,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Author,"State, The; Constitutional history; Political science",,history; political_science; science,The state: elements of historical and practical politics,"history; political_science; science; State, The; Constitutional history; Political science",0.6
99,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Subject,Presidents--United States--Biography; United States--Politics and government--1913-1921; United States--Foreign relations--Moral and ethical aspects; BIOGRAPHY & AUTOBIOGRAPHY / Presidents & Heads of State; HISTORY / Military / World War I.,Biographies,history; political_science,The moralist: Woodrow Wilson and the world he made,history; political_science; Presidents--United States--Biography; United States--Politics and government--1913-1921; United States--Foreign relations--Moral and ethical aspects; BIOGRAPHY & AUTOBIOGRAPHY / Presidents & Heads of State; HISTORY / Military / World War I.,0.8
100,张资平,,,1,着,文学,,,柘榴花,文学,0.6
101,张资平,,,1,着,社会科学,,,结婚的爱,社会科学,0.6
102,张资平,,,1,译,科学与技术,,,矿床生因论,科学与技术,0.6
103,张资平,,,1,着,文学,,,张资平选集,文学,0.6
104,张资平,,,1,着,文学,,,欢喜陀与马桶,文学,0.6
105,张资平,,,1,译,科学与技术,,,世界地体构造,科学与技术,0.6
106,张资平,,,1,Contributor,综合性图书,,,天孙之女,综合性图书,0.6
107,张资平,,,1,着,文学,,,苔莉,文学,0.6
108,张资平,,,1,译,科学与技术,,,世界地体构造,科学与技术,0.6
109,张资平,,,1,译,科学与技术,,,岩矿化学,科学与技术,0.6
110,张资平,,,1,编,科学与技术,,,自然地理学,科学与技术,0.6
111,张资平,,,1,编,科学与技术,,,自然地理学,科学与技术,0.6
112,张资平,,,1,着,科学与技术,,,自然地理学,科学与技术,0.6
113,张资平,,,1,着,综合性图书,,,脱了轨道的星球,综合性图书,0.6
114,张资平,,,1,编,文学,,,现代世界文学概况,文学,0.4
115,张资平,,,1,着,文学,,,素描种种,文学,0.6
116,张资平,,,1,着,文学,,,雪的除夕,文学,0.6
117,张资平,,,1,着,文学,,,奴隶,文学,0.6
118,张资平,,,1,着,文学,,,雪的除夕,文学,0.6
119,张资平,,,1,着,文学,,,爱之焦点,文学,0.6
120,张资平,,,1,着,文学,,,青年的爱,文学,0.6
121,张资平,,,1,着,科学与技术,,,人类进化论,科学与技术,0.6
122,张资平,,,1,着,文学,,,蔻拉梭,文学,0.6
123,张资平,,,1,译,科学与技术,,,矿物与岩石,科学与技术,0.6
124,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,Slavery--Justification; Slavery--United States--Speeches in Congress; Kansas--Politics and government--1854-1861,,political_science,"Kansas bill: Speech of Hon. J.P. Benjamin, of La., delivered in Senate of United States on Thursday, March 11, 1858 : Slavery protected by the common law of the new world : Guarantied [sic] by Constitution : Vindication of the Supreme Court of the U.S.",political_science; Slavery--Justification; Slavery--United States--Speeches in Congress; Kansas--Politics and government--1854-1861,0.4
125,"Benjamin, J. P. (Judah Philip), 1811-1884",1811.0,1884.0,1,Contributor,Slavery--Justification; Slavery--United States--Speeches in Congress; Kansas--Politics and government--1854-1861,,political_science,"Kansas bill: Speech of Hon. J.P. Benjamin, of La., delivered in Senate of United States on Thursday, March 11, 1858 : Slavery protected by the common law of the new world : Guarantied [sic] by Constitution : Vindication of the Supreme Court of the U.S.",political_science; Slavery--Justification; Slavery--United States--Speeches in Congress; Kansas--Politics and government--1854-1861,0.4
126,"Owen, David, -1623",,,1,Contributor,Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,,,"Puritano-Iesuitismus: the Puritan turn'd Jesuite; or rather, out-vying him in those diabolicall and dangerous positions, of the deposition of kings; from the yeare 1536. untill this present time; extracted out of the most ancient and authentick authours. By that reverend divine, Doctour Ovven, Batchelour of Divinity. Shewing their concord in the matter, their discord in the manner of their sedition.",Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,0.4
127,"Owen, David, -1623",,,1,Contributor,Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,,,"Puritano-Iesuitismus: the Puritan turn'd Jesuite; or rather, out-vying him in those diabolicall and dangerous positions, of the deposition of kings; from the yeare 1536. untill this present time; extracted out of the most ancient and authentick authours. By that reverend divine, Doctour Ovven, Batchelour of Divinity. Shewing their concord in the matter, their discord in the manner of their sedition.",Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,0.6
128,"Owen, David, -1623",,,1,Contributor,Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,,,"Herod and Pilate reconciled: or The concord of papist and puritan (against Scripture, fathers, councels, and other orthodoxall writers) for the coercion, deposition, and killing of kings. Discouered by David Owen Batchelour of Diuinitie, and chaplaine to the right Honourable Lord Vicount Hadington",Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,0.4
129,"Owen, David, -1623",,,1,Contributor,"Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",,history,"A persvvassion to loyalty, or, The subject's dutie: vvherein is proved that resisting or deposing of kings (under what spccious [sic] pretences soever couched) is utterly unlawfull","history; Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",0.6
130,"Owen, David, -1623",,,1,Contributor,"Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",,history,"A persvvassion to loyalty, or, The subject's dutie: vvherein is proved that resisting or deposing of kings (under what spccious [sic] pretences soever couched) is utterly unlawfull","history; Prerogative, Royal--England; Great Britain--History--Charles I, 1625-1649; Great Britain--History--Civil War, 1642-1649",0.8
131,"Owen, David, -1623",,,1,Contributor,"Great Britain--History--Charles I, 1625-1649",,history,"A perswasion to loyalty, or, The subiect's dutie: vvherein is proved that resisting or deposing of kings (under what specious pretences soever couched) is utterly unlawful","history; Great Britain--History--Charles I, 1625-1649",0.6
132,"Owen, David, -1623",,,1,Contributor,Divine right of kings; Kings and rulers,,,Pvritano-Iesvitismvs: The Puritan tvrn'd Jesuite : or rather ovt-vying him in those diabolicall and dangerous positions of the deposition of Kings from the yeare 1536 untill this present time : extracted out of the most ancient and authentick authours : shewing their concord in the matter their discord in the manner of their sedition,Divine right of kings; Kings and rulers,0.6
133,"Owen, David, -1623",,,1,Contributor,Divine right of kings; Kings and rulers,,,Pvritano-Iesvitismvs: The Puritan tvrn'd Jesuite : or rather ovt-vying him in those diabolicall and dangerous positions of the deposition of Kings from the yeare 1536 untill this present time : extracted out of the most ancient and authentick authours : shewing their concord in the matter their discord in the manner of their sedition,Divine right of kings; Kings and rulers,0.8
134,"Owen, David, -1623",,,1,Contributor,"Pareus, David, 1548-1622. Quaestiones controversae theologicae de jure .. adversus Bellarminum--Early works to 1800; Divine right of kings--Early works to 1800",,philosophy_psychology_religion,"Anti-Paræus: siue Determinatio de iure regio habita Cantabrigiæ in scholis theologicis, 19. April. 1619. contra Davidem Paræum: cæterosq[ue] reformatæ & Romanæ religionis antimonarchas, à Davide Ovven monensi, theologiæ professore, honoratiss. comiti de Holdernes à sacris. Discussione propositionum eiusdem Paræi è re nuper natá paulò auctior.","philosophy_psychology_religion; Pareus, David, 1548-1622. Quaestiones controversae theologicae de jure .. adversus Bellarminum--Early works to 1800; Divine right of kings--Early works to 1800",0.4
135,"Owen, David, -1623",,,1,Contributor,Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,,,"The Puritan turn'd Jesuite: or rather, out-vying him in those diabolicall and dangerous positions, of the deposition of kings; from the year 1536. untill this present time; extracted out of the most ancient and authentick authors. Shewing their concord in the matter, their discord in the manner of their sedition. By that reverend divine, Doctor Ovven.",Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,0.4
136,"Owen, David, -1623",,,1,Contributor,Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,,,"The Puritan turn'd Jesuite: or rather, out-vying him in those diabolicall and dangerous positions, of the deposition of kings; from the year 1536. untill this present time; extracted out of the most ancient and authentick authors. Shewing their concord in the matter, their discord in the manner of their sedition. By that reverend divine, Doctor Ovven.",Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,0.6
137,"Owen, David, -1623",,,1,Contributor,Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,,,"Herod and Pilate reconciled: or The concord of papists, anabaptists, and sectaries, against Scripture, Fathers, councils, and other orthodoxical writers, for the coercion, deposition, and killing of kings. Discovered by the reverend Father in God, Dr. Owen, late bishop of St. Asaph. Dedicated to the loyal subjects of Great Britain.",Divine right of kings--Early works to 1800; Kings and rulers--Early works to 1800,0.4
138,"Owen, David, -1623",,,1,Contributor,"Pareus, David, 1548-1622. Quaestiones controversae theologicae, de jure regum et principum .. adversus Bellarminum; Divine right of kings--Early works to 1800",,philosophy_psychology_religion,"Anti-Paræus, or, A treatise in the defence of the royall right of kings: against Paræus and the rest of the anti-monarchians, whether Presbyterians or Jesuits. Wherein is maintained the unlawfulnesse of opposing and taking up arms against the Prince, either by any private subject, inferiour magistrate, the states of the Kingdom, or the Pope of Rome. Confirm'd from the dictate of nature, the law of nations, the civill and canon law, the sacred scriptures, ancient fathers, and Protestant divines. Delivered formerly in a determination in the divinity schooles in Cambridge, April the 9th. 1619. And afterwards enlarged for the presse by learned Dr. Owen. Now translated and published to confirme men in their loyalty to their king, by R.M. Master in Arts","philosophy_psychology_religion; Pareus, David, 1548-1622. Quaestiones controversae theologicae, de jure regum et principum .. adversus Bellarminum; Divine right of kings--Early works to 1800",0.4
139,"Gibson, Jason (Math instructor)",,,1,Director; Speaker,Calculus,Video recordings; Videorecording; Educational films,,Calculus tutor,Calculus; Video recordings; Videorecording; Educational films,0.8
140,"Gibson, Jason (Math instructor)",,,1,Director; Speaker; Narrator,Algebra,Video recordings; Educational films; Alexander Street Video,,Pre-algebra tutor,Algebra; Video recordings; Educational films; Alexander Street Video,0.8
141,"Gibson, Jason (Math instructor)",,,1,Director; Speaker,Trigonometrical functions; Algebra; Trigonometry; Circle,Video recordings; Educational films; Alexander Street Video,,Trigonometry tutor,Trigonometrical functions; Algebra; Trigonometry; Circle; Video recordings; Educational films; Alexander Street Video,0.8
